FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
70251,,WPXR-TV,27,36,ROANOKE,VA,371137,800924,1201,623,580,DA,27852,0
70592,,WDTV,5,5,WESTON,WV,391802,802036,601.5,240,10,ND,,
71329,,WDBJ,30,18,ROANOKE,VA,371142,800922,1184,606,885,ND,,
72064,,WFMY-TV,35,51,GREENSBORO,NC,355213,795024,791.8,568.8,743,ND,,
73988,,WSET-TV,7,13,LYNCHBURG,VA,371855,793805,943.9,625,28.7,ND,,
74122,,WTOV-TV,9,9,STEUBENVILLE,OH,402033,803713,599,282,30,ND,,
74169,,WVNS-TV,11,8,LEWISBURG,WV,374622,804224,1259,577,3.68,DA,71044,0
168095,,WLHG-CD,19,43,LYNCHBURG,VA,372133,790931,431.2,0,9.07,ND,,
257,,WWAT-CD,29,45,CHARLEROI,PA,394840,794130,899,0,0.407,DA,120862,330
4685,,WTAP-TV,35,49,PARKERSBURG,WV,392100,813355,430.1,196.7,242,ND,,
4693,,WYTV,31,36,YOUNGSTOWN,OH,410343,803806,502,177,903,DA,93583,0
6869,,WTRF-TV,7,7,WHEELING,WV,400341,804507,607,293,25.4,ND,,
10976,,WVFX,13,10,CLARKSBURG,WV,391802,802036,596,235,30,DA,44599,0
13924,,WPCB-TV,28,50,GREENSBURG,PA,402334,794653,580,264,236,DA,44438,0
18753,,WVIZ,35,26,CLEVELAND,OH,412310,814120,590.4,336.9,181,DA,87585,0
19707,,WFXP,26,22,ERIE,PA,420225,800408,616.3,286,930,DA,78512,0
25454,,KDKA-TV,25,25,PITTSBURGH,PA,402938,800108,616,311,1000,ND,,
41074,,W16DO-D,27,16,CLEVELAND,OH,412302,814143,584.8,0,12.9,DA,117649,170
41314,,WINP-TV,16,38,PITTSBURGH,PA,402646,795750,521,213,309,ND,,
49421,,WEAO,24,50,AKRON,OH,410458,813801,617.4,305,150,ND,,
49439,,WNEO,29,45,ALLIANCE,OH,405423,805439,612.6,253,365,ND,,
