FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
42122,,KFMB-TV,8,8,SAN DIEGO,CA,325017,1171500,309,227,19.8,ND,,
40876,,KGTV,10,10,SAN DIEGO,CA,325020,1171459,307,227,20.7,ND,,
35277,,KNSD,17,40,SAN DIEGO,CA,324148,1165609,805,566,225,DA,68010,0
10238,,KUSI-TV,18,18,SAN DIEGO,CA,324151,1165606,820.5,576,355,DA,39587,0
6124,,KPBS,19,30,SAN DIEGO,CA,324153,1165606,811.4,567.4,273,DA,33507,0
4035,,KBNT-CD,24,25,SAN DIEGO,CA,325020,1171459,267,0,14.6,DA,108786,140
58827,,KSWB-TV,26,19,SAN DIEGO,CA,324147,1165610,836.4,598,379,DA,65036,0
65526,,KRON-TV,7,38,SAN FRANCISCO,CA,374519,1222710,542.6,511.7,23,DA,96464,0
34470,,KGO-TV,12,7,SAN FRANCISCO,CA,374519,1222710,544.2,519,23.8,ND,,
33778,,KDTV-DT,20,51,SAN FRANCISCO,CA,372957,1215220,922,701,253,DA,28493,0
52887,,KFTL-CD,21,28,SAN FRANCISCO,CA,374115,1222605,422.1,0,12.8,DA,20756,90
69619,,KBCW,28,45,SAN FRANCISCO,CA,374519,1222710,521.4,490.5,714,DA,86777,0
25452,,KPIX-TV,29,29,SAN FRANCISCO,CA,374519,1222710,542.6,511.7,1000,DA,86776,0
35500,,KQED,30,30,SAN FRANCISCO,CA,374519,1222710,542.6,511.7,1000,DA,109395,0
71586,,KCNS,32,39,SAN FRANCISCO,CA,374519,1222710,542.6,511.7,869,DA,101051,0
37689,,KAXT-CD,22,42,"SAN FRANCISO, SAN JO",CA,372957,1215220,824,0,9.9,DA,106534,190
35280,,KNTV,13,12,SAN JOSE,CA,374107,1222605,443.4,376.6,103,DA,64426,0
22644,,KKPX-TV,14,41,SAN JOSE,CA,374115,1222605,461.8,418,555,DA,60706,0
64987,,KSTS,19,49,SAN JOSE,CA,372957,1215220,922.3,688,139,DA,38067,0
34564,,KICU-TV,36,36,SAN JOSE,CA,372917,1215203,918,686,550,DA,85202,0
19654,,KSBY,15,15,SAN LUIS OBISPO,CA,352137,1203922,857,515,1000,DA,105044,0
33870,,KKFX-CD,24,24,SAN LUIS OBISPO,CA,352138,1203925,777,0,0.325,DA,20757,250
29885,,K50LZ-D,32,50,SAN LUIS OBISPO,CA,352137,1203922,765.11,0,10.7,DA,97811,0
12930,,KTAS,34,34,SAN LUIS OBISPO,CA,352138,1203925,784,453,80.4,DA,75235,250
31354,,KSBO-CD,36,42,SAN LUIS OBISPO,CA,352139,1203925,770.5,0,13.4,DA,1000576,190
58927,,KSKT-CD,36,36,SAN MARCOS,CA,330032,1165819,895,0,5,DA,20067,180
58912,,KCSM-TV,27,43,SAN MATEO,CA,374519,1222710,542.5,511.4,363,DA,89148,0
59013,,KFRE-TV,36,36,SANGER,CA,370437,1192604,1425.8,607,360,DA,72149,0
67884,,KTBN-TV,33,33,SANTA ANA,CA,341327,1180347,1765,875,1000,DA,92251,0
60639,,KSBB-CD,17,17,SANTA BARBARA,CA,342436,1194228,134.2,0,1.2,DA,20732,330
12144,,KPMR,21,21,SANTA BARBARA,CA,343128,1195739,1260.5,930,1000,DA,98916,0
60637,,KEYT-TV,27,27,SANTA BARBARA,CA,343132,1195732,1252,918,250,DA,73232,0
18741,,KVMM-CD,28,41,SANTA BARBARA,CA,342757,1194041,664.14,0,11.5,DA,88625,220
63165,,KCOY-TV,19,19,SANTA MARIA,CA,345437,1201113,1014,579,130,DA,44568,270
167844,,KQMM-CD,29,29,SANTA MARIA,CA,345436,1201114,1003,0,15,DA,20484,270
31351,,KDFS-CD,30,30,SANTA MARIA,CA,345352,1203526,500.9,0,14.4,DA,18052,147
31352,,KTSB-CD,35,35,SANTA MARIA,CA,345437,1201113,1020,0,0.69,DA,18180,270
18148,,KDTV-CD,21,28,SANTA ROSA,CA,383923,1223658,1221.51,0,3.16,DA,18052,195
10242,,KQCA,23,46,STOCKTON,CA,381554,1212928,583,580,377,ND,,
56550,,KOVR,25,25,STOCKTON,CA,381424,1213007,594,593,1000,ND,,
20871,,KTFK-DT,26,26,STOCKTON,CA,381424,1213007,597,595,850,DA,87069,77
16729,,KVMD,23,23,TWENTYNINE PALMS,CA,340217,1164850,2450,784,150,DA,36709,100
51429,,KFSF-DT,34,34,VALLEJO,CA,374519,1222710,523.7,498,370,DA,96898,135
36717,,KSKJ-CD,27,45,VAN NUYS,CA,341703,1182820,458,0,0.696,DA,20753,180
68406,,KFAZ-CA,18,18,VISALIA,CA,364445,1191700,1057,0,15,DA,97363,270
16950,,KNXT,22,50,VISALIA,CA,361714,1185020,1845,834,106,ND,,
51488,,KMPH-TV,28,28,VISALIA,CA,364002,1185245,2525,763,219,DA,28096,0
8214,,KQET,25,25,WATSONVILLE,CA,364523,1213009,984.4,698.6,81.1,DA,85346,270
23179,,K36DB-CD,36,36,"AVON, VAIL",CO,393801,1063211,2310,0,0.08,DA,20778,353
57219,,KTFD-DT,32,15,BOULDER,CO,394017,1051308,2397,363,1000,DA,88410,0
22685,,KBDI-TV,13,13,BROOMFIELD,CO,394055,1052951,3508,738,33.6,DA,105347,0
